1 1 0
2 1.2 0.4
3 1.4 0.8
4 1.6 1.2
5 1.8 1.6
6 2 2
7 2.2 2.4
8 2.4 2.8
9 2.6 3.2
10 2.8 3.6
11 3 4
12 3.2 4.4
13 3.4 4.8
14 3.6 5.2
15 3.8 5.6
16 4 6
17 4.2 6.4
18 4.4 6.8
19 4.6 7.2
20 4.8 7.6
21 5 8
22 5.2 8.4
23 5.4 8.8
24 5.6 9.2
25 5.8 9.6
26 6 10
27 6.2 10.4
28 6.4 10.8
29 6.6 11.2
30 6.8 11.6
31 7 12
32 7.2 12.4
33 7.4 12.8
34 7.6 13.2
35 7.8 13.6
36 8 14
37 8.2 14.4
38 8.4 14.8
39 8.6 15.2
40 8.8 15.6
41 9 16
42 9.2 16.4
43 9.4 16.8
44 9.6 17.2
45 9.8 17.6
46 10 18
47 10.2 18.4
48 10.4 18.8
49 10.6 19.2
50 10.8 19.6
51 11 20
52 11.2 20.4
53 11.4 20.8
54 11.6 21.2
55 11.8 21.6
56 12 22
57 12.2 22.4
58 12.4 22.8
59 12.6 23.2
60 12.8 23.6
61 13 24
62 13.2 24.4
63 13.4 24.8
64 13.6 25.2
65 13.8 25.6
66 14 26
67 14.2 26.4
68 14.4 26.8
69 14.6 27.2
70 14.8 27.6
71 15 28
72 15.2 28.4
73 15.4 28.8
74 15.6 29.2
75 15.8 29.6
76 16 30
77 16.2 30.4
78 16.4 30.8
79 16.6 31.2
80 16.8 31.6
81 17 32
82 17.2 32.4
83 17.4 32.8
84 17.6 33.2
85 17.8 33.6
86 18 34
87 18.2 34.4
88 18.4 34.8
89 18.6 35.2
90 18.8 35.6
91 19 36
92 19.2 36.4
93 19.4 36.8
94 19.6 37.2
95 19.8 37.6
96 20 38
97 20.2 38.4
98 20.4 38.8
99 20.6 39.2
100 20.8 39.6
