#threads #iteration
11 10 11 10 1.85459 3.13473
12 10 12 10 1.84549 3.13473
13 10 13 10 1.86332 3.13473
14 10 14 10 1.8642 3.13473
15 10 15 10 1.84395 3.13473
16 10 16 10 1.83577 3.13473


1 11 1 11 3.14263 3.14263
2 11 2 11 2.4301 3.14263
3 11 3 11 1.8914 3.14263
4 11 4 11 1.89642 3.14263
5 11 5 11 1.79992 3.14263
6 11 6 11 1.79735 3.14263
7 11 7 11 1.80084 3.14263
8 11 8 11 1.80867 3.14263
9 11 9 11 1.83093 3.14263
10 11 10 11 1.80916 3.14263
11 11 11 11 1.81016 3.14263
12 11 12 11 1.81198 3.14263
13 11 13 11 1.81833 3.14263
14 11 14 11 1.83909 3.14263
15 11 15 11 1.79885 3.14263
16 11 16 11 1.79754 3.14263


1 12 1 12 2.95527 2.95527
2 12 2 12 2.37917 2.95527
3 12 3 12 1.77997 2.95527
4 12 4 12 1.78006 2.95527
5 12 5 12 1.78726 2.95527
6 12 6 12 1.78358 2.95527
7 12 7 12 1.79198 2.95527
8 12 8 12 1.78771 2.95527
9 12 9 12 1.78774 2.95527
10 12 10 12 1.81488 2.95527
11 12 11 12 1.80183 2.95527
12 12 12 12 1.80577 2.95527
13 12 13 12 1.81791 2.95527
14 12 14 12 1.81752 2.95527
15 12 15 12 1.80114 2.95527
16 12 16 12 1.79058 2.95527


1 13 1 13 2.97144 2.97144
2 13 2 13 2.33764 2.97144
3 13 3 13 1.78975 2.97144
4 13 4 13 1.78566 2.97144
5 13 5 13 1.78109 2.97144
6 13 6 13 1.78717 2.97144
7 13 7 13 1.78754 2.97144
8 13 8 13 1.78475 2.97144
9 13 9 13 1.78427 2.97144
10 13 10 13 1.79931 2.97144
11 13 11 13 1.78528 2.97144
12 13 12 13 1.80447 2.97144
13 13 13 13 1.80906 2.97144
14 13 14 13 1.81946 2.97144
15 13 15 13 1.8006 2.97144
16 13 16 13 1.79047 2.97144


1 14 1 14 3.16874 3.16874
2 14 2 14 2.42445 3.16874
3 14 3 14 1.93697 3.16874
4 14 4 14 1.87001 3.16874
5 14 5 14 1.78291 3.16874
6 14 6 14 1.77556 3.16874
7 14 7 14 1.78587 3.16874
8 14 8 14 1.79796 3.16874
9 14 9 14 1.78352 3.16874
10 14 10 14 1.7798 3.16874
11 14 11 14 1.80399 3.16874
12 14 12 14 1.78869 3.16874
13 14 13 14 1.78778 3.16874
14 14 14 14 1.80352 3.16874
15 14 15 14 1.78753 3.16874
16 14 16 14 1.79057 3.16874


1 15 1 15 2.95167 2.95167
2 15 2 15 2.32086 2.95167
3 15 3 15 1.77357 2.95167
4 15 4 15 1.76969 2.95167
5 15 5 15 1.76651 2.95167
6 15 6 15 1.77755 2.95167
7 15 7 15 1.77205 2.95167
8 15 8 15 1.77819 2.95167
9 15 9 15 1.80829 2.95167
10 15 10 15 1.80827 2.95167
11 15 11 15 1.79189 2.95167
12 15 12 15 1.80394 2.95167
13 15 13 15 1.80034 2.95167
14 15 14 15 1.79724 2.95167
15 15 15 15 1.78397 2.95167
16 15 16 15 1.77711 2.95167


1 16 1 16 2.96126 2.96126
2 16 2 16 2.32738 2.96126
3 16 3 16 1.76862 2.96126
4 16 4 16 1.77319 2.96126
5 16 5 16 1.77637 2.96126
6 16 6 16 1.77805 2.96126
7 16 7 16 1.77178 2.96126
8 16 8 16 1.77677 2.96126
9 16 9 16 1.7753 2.96126
10 16 10 16 1.79363 2.96126
11 16 11 16 1.79558 2.96126
12 16 12 16 1.78265 2.96126
13 16 13 16 1.79601 2.96126
14 16 14 16 1.79993 2.96126
15 16 15 16 1.78472 2.96126
16 16 16 16 1.77253 2.96126
